date,currency,mid_rate,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_change,risk_label_7d
2025-06-11,USD,1423.241351,0.00025328260770307587,0.0011192704556690636,0.0027229922943623475,1421.7390391428573,1421.0624485714288,1419.947088266667,0.0012619842605387864,0.0004019472683069426,0.00032348889755099417,0.0002636849482750042,0.0011192704556690636,0.0027229922943623475,24.606062000000065,0.01728874866002967,3.0,7.0,0.0030667721935799808,High
2025-06-12,USD,1423.699459,0.00032187653884441225,0.001896064920710927,0.0026889985318492293,1422.1239417142856,1421.3351670714287,1420.0914015666667,0.0014312741738852477,0.00029810277563550706,0.00032231143894837844,0.0002668897672302463,0.001896064920710927,0.0026889985318492293,24.075996999999916,0.016910870372115465,4.0,7.0,0.0035533587991620763,High
2025-06-13,USD,1424.116214,0.0002927268092751678,0.002189346759020383,0.0030425594846150705,1422.5683807142855,1421.6437252857143,1420.2437734,0.0016367664184300224,0.0002733026368349827,0.0003148155811406787,0.00026914872868515137,0.002189346759020383,0.0030425594846150705,23.66690799999992,0.016618663397929632,5.0,8.0,0.004013666822839879,High
2025-06-14,USD,1424.116214,0.0,0.002189346759020383,0.0030425594846150705,1423.0128197142858,1421.9522835,1420.4068159333333,0.0018346883102219767,0.0002733026368349827,0.0003148155811406787,0.000262605517061845,0.002189346759020383,0.0030425594846150705,23.66690799999992,0.016618663397929632,5.0,8.0,0.004013666822839879,High
2025-06-15,USD,1424.116214,0.0,0.002189346759020383,0.0030425594846150705,1423.457258714286,1422.2608417142856,1420.5843584333334,0.0020223369797770147,0.0002733026368349827,0.0003148155811406787,0.0002513744801343391,0.002189346759020383,0.0030425594846150705,23.66690799999992,0.016618663397929632,5.0,8.0,0.004013666822839879,High
2025-06-16,USD,1424.991321,0.0006144912833638827,0.0020821791166223402,0.0031546357245297862,1423.8802475714285,1422.580926857143,1420.7910711666666,0.0021742650748961187,0.00024847763431720953,0.0003239044572773619,0.0002654825025206507,0.0020821791166223402,0.0031546357245297862,22.417120999999952,0.015731408795015358,5.0,8.0,0.00418010054673168,High
2025-06-17,USD,1426.59028,0.0011220833253060558,0.0026069081703081753,0.0037432292780033016,1424.4101504285713,1422.960936857143,1421.0510825333333,0.0023637910955669112,0.0003918089258951226,0.00039689652593324866,0.0003181137771622717,0.0026069081703081753,0.0037432292780033016,19.823472000000038,0.013895701013748698,5.0,8.0,0.004155474829115047,High
2025-06-18,USD,1427.606108,0.0007120670974991583,0.0030667721935799808,0.004189475196759718,1425.0336871428572,1423.3863631428571,1421.3411775,0.002597905204823494,0.00040671607970106264,0.0004143412852154484,0.00033170761586200336,0.0030667721935799808,0.004189475196759718,18.212451999999985,0.012757336843784354,5.0,8.0,0.0035671590163859346,High
2025-06-19,USD,1428.758374,0.0008071315985151983,0.0035533587991620763,0.005456161118842839,1425.7563892857142,1423.9401655000001,1421.6783479666665,0.002868469738517384,0.00042466149824265493,0.00037319361090197085,0.0003410018714023037,0.0035533587991620763,0.005456161118842839,16.310562000000118,0.011415899494843569,5.0,9.0,0.0028438748454187035,High
2025-06-20,USD,1429.832142,0.000751539252220601,0.004013666822839879,0.006211800890310704,1426.5729504285714,1424.5706655714287,1422.0528111333333,0.003178601567993583,0.00042148618203439396,0.0003669642456380814,0.0003496011805018025,0.004013666822839879,0.006211800890310704,14.551668000000063,0.010177186239250218,5.0,10.0,0.002167845377754718,Medium
